Remark,Week dates,measurement week,Treatment,Season,CO2flux,CH4flux,mgCH4,averageTemp,MeanSoilMoisture,MEANpH,meanGCC,canopyheight,CanopyExtentEstimate,EvapotranspirationRate,buds,bursts
13,May 21 2025 - May 28 2025,2,Heatwave,Early summer,NA,NA,NA,10,NA,7.8,0.312323932,,0.06,1.4,0,0
14,May 21 2025 - May 28 2025,2,Control,Early summer,NA,NA,NA,10,NA,7.2,0.312437486,,0.12,1.4,0,0
15,May 21 2025 - May 28 2025,2,Control,Early summer,NA,NA,NA,10,NA,7.55,0.311859658,,0.28,1.2,0,0
16,May 21 2025 - May 28 2025,2,Extended,Early summer,NA,NA,NA,10,NA,7.55,0.306665182,,0.36,1.4,0,0
17,May 21 2025 - May 28 2025,2,Control,Early summer,NA,NA,NA,10,NA,7.45,0.307698831,,0.5,1.4,0,0
18,May 21 2025 - May 28 2025,2,Extended,Early summer,NA,NA,NA,10,NA,7.7,0.310330057,,0.58,1.4,0,0
19,May 21 2025 - May 28 2025,2,Heatwave,Early summer,NA,NA,NA,10,NA,7.5,0.309934079,,0.65,1.2,0,0
20,May 21 2025 - May 28 2025,2,Control,Early summer,NA,NA,NA,10,NA,7.35,0.314854783,,0.78,1.4,0,0
21,May 21 2025 - May 28 2025,2,Heatwave,Early summer,NA,NA,NA,10,NA,7.5,0.312587113,,0.76,1.1,0,0
1,May 28 - June 4,3,Extended,Mid-summer,NA,NA,NA,10,NA,7.3,0.320288652,10.3,0.91,1.8,0,0
2,May 28 - June 4,3,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.6,0.315456016,19.4,0.78,1.6,2,0
3,May 28 - June 4,3,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.8,0.315539664,8.6,0.76,1.6,0,0
4,May 28 - June 4,3,Control,Mid-summer,NA,NA,NA,10,NA,7.6,0.316207984,16.8,0.65,1.4,0,0
5,May 28 - June 4,3,Control,Mid-summer,NA,NA,NA,10,NA,7.6,0.312188498,4.2,0.7,1.6,0,0
6,May 28 - June 4,3,Extended,Mid-summer,NA,NA,NA,10,NA,7.5,0.316574328,6.1,0.62,1.4,0,0
7,May 28 - June 4,3,Extended,Mid-summer,NA,NA,NA,10,NA,7.45,0.316940019,21.2,0.02,1.6,0,0
8,May 28 - June 4,3,Extended,Mid-summer,NA,NA,NA,10,NA,7.35,0.318458284,22.5,0.12,1.6,0,0
9,May 28 - June 4,3,Control,Mid-summer,NA,NA,NA,10,NA,7.65,0.312749024,5.7,0.11,1.6,0,0
10,May 28 - June 4,3,Extended,Mid-summer,NA,NA,NA,10,NA,7.8,0.315496422,4.5,0.24,1.6,0,0
11,May 28 - June 4,3,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.55,0.308256675,16.1,0.25,,0,0
12,May 28 - June 4,3,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.7,0.322669152,10.6,0.43,1.6,0,0
13,May 28 - June 4,3,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.6,0.314540914,14.8,0.6,1.6,0,0
14,May 28 - June 4,3,Control,Mid-summer,NA,NA,NA,10,NA,7.35,0.316936718,20.6,0.69,1.6,0,0
15,May 28 - June 4,3,Control,Mid-summer,NA,NA,NA,10,NA,7.75,0.318209298,19.3,0.8,1.6,0,0
16,May 28 - June 4,3,Extended,Mid-summer,NA,NA,NA,10,NA,7.75,0.309197462,18.1,0.78,1.6,0,0
17,May 28 - June 4,3,Control,Mid-summer,NA,NA,NA,10,NA,7.65,0.312961796,9.6,0.89,1.4,0,0
18,May 28 - June 4,3,Extended,Mid-summer,NA,NA,NA,10,NA,7.65,0.312753636,15.7,0.82,1.6,0,0
19,May 28 - June 4,3,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.5,0.311183316,9.2,0.92,1.6,0,0
20,May 28 - June 4,3,Control,Mid-summer,NA,NA,NA,10,NA,7.35,0.31751081,10.1,0.99,1.8,0,0
21,May 28 - June 4,3,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.75,0.315498259,13.6,0.99,1.4,0,0
1,June 4 - June 11,4,Extended,Mid-summer,NA,NA,NA,10,NA,7.05,0.326933146,18.6,1.15,1.6,0,0
2,June 4 - June 11,4,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.2,0.31849024,20.6,1.03,1.4,0,0
3,June 4 - June 11,4,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.2,0.315740039,10.1,0.1,1.4,0,0
4,June 4 - June 11,4,Control,Mid-summer,NA,NA,NA,10,NA,7,0.322358611,21.8,0.03,1.6,0,0
5,June 4 - June 11,4,Control,Mid-summer,NA,NA,NA,10,NA,7.25,0.316741868,13.7,0.07,1.8,0,0
6,June 4 - June 11,4,Extended,Mid-summer,NA,NA,NA,10,NA,7.3,0.319450802,11.8,0.18,1.4,0,0
7,June 4 - June 11,4,Extended,Mid-summer,NA,NA,NA,10,NA,7.05,0.323338785,42.4,0.2,1.6,0,0
8,June 4 - June 11,4,Extended,Mid-summer,NA,NA,NA,10,NA,7,0.322683911,29.7,0.47,1.8,0,0
9,June 4 - June 11,4,Control,Mid-summer,NA,NA,NA,10,NA,7.25,0.315431656,6.2,0.49,1.6,0,0
10,June 4 - June 11,4,Extended,Mid-summer,NA,NA,NA,10,NA,7.4,0.316267606,9.1,0.71,1.6,0,0
11,June 4 - June 11,4,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.4,0.313169995,25.6,0.77,1.4,0,0
12,June 4 - June 11,4,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.3,0.329524997,14.4,0.96,1.4,0,0
13,June 4 - June 11,4,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.1,0.318406643,19.7,0.97,1.6,0,0
14,June 4 - June 11,4,Control,Mid-summer,NA,NA,NA,10,NA,7,0.325754685,22.6,0.96,1.4,0,0
15,June 4 - June 11,4,Control,Mid-summer,NA,NA,NA,10,NA,6.9,0.326824717,35.2,0.98,1.6,0,0
16,June 4 - June 11,4,Extended,Mid-summer,NA,NA,NA,10,NA,7,0.30870465,24.6,0.99,1.5,0,0
17,June 4 - June 11,4,Control,Mid-summer,NA,NA,NA,10,NA,7,0.313672153,16.3,0.99,1.6,0,0
18,June 4 - June 11,4,Extended,Mid-summer,NA,NA,NA,10,NA,7,0.317374172,23.6,0.97,1.4,0,0
19,June 4 - June 11,4,Heatwave,Mid-summer,NA,NA,NA,10,NA,7.25,0.312935946,43.8,0.9,1.6,0,0
20,June 4 - June 11,4,Control,Mid-summer,NA,NA,NA,10,NA,7.1,0.321142605,18.4,0.12,1.4,0,0
21,June 4 - June 11,4,Heatwave,Mid-summer,NA,NA,NA,10,NA,7,0.320728129,19,0.05,1.6,0,0
1,June 11 - June 18,5,Extended,Late summer,NA,NA,NA,10,NA,7.3,0.331982877,19,0.14,1.2,0,0
2,June 11 - June 18,5,Heatwave,Late summer,0.98238772,-1.32E-07,-1.83E-04,16,7.4,7.15,0.319340025,19.4,0.15,1.2,0,0
3,June 11 - June 18,5,Heatwave,Late summer,0.693681922,-1.96E-07,-2.71E-04,16,8.9,7.1,0.31803988,11,0.23,1.6,0,0
4,June 11 - June 18,5,Control,Late summer,NA,NA,NA,10,NA,7,0.328690208,24,0.27,1.4,0,0
5,June 11 - June 18,5,Control,Late summer,NA,NA,NA,10,NA,7.15,0.321237073,15.6,0.35,1.2,0,0
6,June 11 - June 18,5,Extended,Late summer,0.131653451,-4.66E-07,-6.46E-04,10,8.75,7.3,0.322765119,12.8,0.49,1.6,0,0
7,June 11 - June 18,5,Extended,Late summer,1.430385445,-1.30E-07,-1.81E-04,10,7.7,7.1,0.326311135,NA,0.54,1.6,0,0
8,June 11 - June 18,5,Extended,Late summer,NA,NA,NA,10,NA,7.05,0.327453281,46.7,0.69,1.6,0,0
9,June 11 - June 18,5,Control,Late summer,NA,NA,NA,10,NA,7.05,0.317249472,7.2,0.7,1.6,0,0
10,June 11 - June 18,5,Extended,Late summer,NA,NA,NA,10,NA,7.1,0.318261978,13,0.77,1.6,0,0
11,June 11 - June 18,5,Heatwave,Late summer,0.463241593,-3.19E-07,-4.42E-04,16,9.95,7.05,0.315431961,33.8,0.71,1.4,0,0
12,June 11 - June 18,5,Heatwave,Late summer,0.876998957,-3.14E-07,-4.35E-04,16,10,7.25,0.33380445,21.2,0.67,1.8,0,0
13,June 11 - June 18,5,Heatwave,Late summer,1.798470178,-1.18E-07,-1.64E-04,16,8.4,7.3,0.319902281,24.9,0.04,1.4,0,0
14,June 11 - June 18,5,Control,Late summer,NA,NA,NA,10,NA,7.15,0.329836095,40.1,0.05,1.6,0,0
15,June 11 - June 18,5,Control,Late summer,1.450364585,-8.73E-08,-1.21E-04,10,7.2,7.05,0.331774769,41.3,0.07,1.6,0,0
16,June 11 - June 18,5,Extended,Late summer,NA,NA,NA,10,NA,7.05,0.312078136,24.2,0.13,1.4,0,0
17,June 11 - June 18,5,Control,Late summer,NA,NA,NA,10,NA,7.05,0.316412604,16.2,0.29,1.4,0,0
18,June 11 - June 18,5,Extended,Late summer,NA,NA,NA,10,NA,7.05,0.320270578,22.3,0.39,1.6,0,0
19,June 11 - June 18,5,Heatwave,Late summer,1.034548516,-7.43E-08,-1.03E-04,16,8.35,7.1,0.316314856,46.6,0.44,1.4,0,0
20,June 11 - June 18,5,Control,Late summer,NA,NA,NA,10,NA,7.15,0.323433698,21.2,0.53,1.4,0,0
21,June 11 - June 18,5,Heatwave,Late summer,1.373873228,-3.16E-08,-4.38E-05,16,8.7,6.95,0.324364773,24.7,0.43,1.8,0,0
1,June 18 - June 25,6,Extended,Late summer / heatwave,2.338807989,8.51E-09,1.18E-05,10,9.55,6.65,0.336344052,19.1,0.53,1.6,0,0
2,June 18 - June 25,6,Heatwave,Late summer / heatwave,2.559001063,9.35E-09,1.30E-05,16,9.15,7.15,0.328064749,23.6,0.5,1.4,0,0
3,June 18 - June 25,6,Heatwave,Late summer / heatwave,2.002776328,-1.75E-08,-2.43E-05,16,9.15,6.95,0.323033142,15.8,0.6,1.2,0,0
4,June 18 - June 25,6,Control,Late summer / heatwave,2.090546206,-1.67E-08,-2.31E-05,10,9.1,7,0.332499697,24.8,0.58,1.8,0,0
5,June 18 - June 25,6,Control,Late summer / heatwave,1.514392908,-2.52E-08,-3.49E-05,10,9.3,6.9,0.320675949,16.3,0.67,1.6,0,0
6,June 18 - June 25,6,Extended,Late summer / heatwave,1.730960434,-6.62E-08,-9.17E-05,10,9.6,6.95,0.323781592,14.8,0.78,1.6,0,0
7,June 18 - June 25,6,Extended,Late summer / heatwave,3.361655897,-4.01E-08,-5.56E-05,10,8.25,6.9,0.331512031,46.4,0.77,1.8,0,0
8,June 18 - June 25,6,Extended,Late summer / heatwave,1.413891423,-1.75E-09,-2.43E-06,10,8.25,7,0.328703917,39.7,0.78,1.6,0,0
9,June 18 - June 25,6,Control,Late summer / heatwave,1.413053126,4.77E-08,6.61E-05,10,9.3,7.2,0.319605794,10.5,0.01,1.6,0,0
10,June 18 - June 25,6,Extended,Late summer / heatwave,1.239449714,1.58E-08,2.19E-05,10,8.45,7.05,0.318746807,13.1,0.07,1.8,0,0
11,June 18 - June 25,6,Heatwave,Late summer / heatwave,5.675480297,-5.11E-08,-7.08E-05,16,9.95,7.05,0.322948197,37.1,0.02,1.6,0,0
12,June 18 - June 25,6,Heatwave,Late summer / heatwave,3.825439326,-5.11E-08,-7.08E-05,16,9.7,6.95,0.346046964,23.7,0.06,1.4,0,0
13,June 18 - June 25,6,Heatwave,Late summer / heatwave,2.195310645,-1.60E-08,-2.22E-05,16,9.5,7,0.331003361,28.9,0.14,1.6,0,0
14,June 18 - June 25,6,Control,Late summer / heatwave,2.49093693,1.97E-08,2.73E-05,10,8.7,6.95,0.332949493,40.2,0.27,1.6,0,0
15,June 18 - June 25,6,Control,Late summer / heatwave,1.762460075,1.09E-08,1.51E-05,10,8.2,7.15,0.336048259,46.6,0.37,1.8,0,0
16,June 18 - June 25,6,Extended,Late summer / heatwave,1.465884525,-8.54E-09,-1.18E-05,10,9.85,7,0.312165451,25.9,0.42,1.6,0,0
17,June 18 - June 25,6,Control,Late summer / heatwave,1.359860406,4.58E-08,6.35E-05,10,10.2,6.85,0.319207361,18.1,0.55,1.6,0,0
18,June 18 - June 25,6,Extended,Late summer / heatwave,1.448485433,1.71E-08,2.37E-05,10,8.95,6.95,0.32204688,23.1,0.59,1.4,0,0
19,June 18 - June 25,6,Heatwave,Late summer / heatwave,2.125364002,-4.76E-08,-6.59E-05,16,10.2,6.95,0.323161201,56,0.68,1.4,0,0
20,June 18 - June 25,6,Control,Late summer / heatwave,1.366173288,1.55E-08,2.15E-05,10,10.1,7.85,0.324081408,21.9,0.39,1.6,0,0
21,June 18 - June 25,6,Heatwave,Late summer / heatwave,3.772613657,-1.89E-08,-2.62E-05,16,8.2,6.95,0.334714686,28.2,0.68,1.6,0,0
1,June 25 - July 2,7,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.05,0.340186078,18.6,0.73,1.4,0,0
2,June 25 - July 2,7,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.3,0.339788832,26.1,0.04,0.8,0,0
3,June 25 - July 2,7,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.2,0.328654967,17.5,0.08,0.4,0,0
4,June 25 - July 2,7,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7,0.336348407,25.4,0.32,1,0,0
5,June 25 - July 2,7,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.05,0.323854084,18.5,0.15,0.8,0,0
6,June 25 - July 2,7,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.05,0.326203841,15.4,0.34,1.4,0,0
7,June 25 - July 2,7,Extended,Autumn / extended summer,NA,NA,NA,10,NA,6.9,0.334023546,53,0.38,1.8,0,0
8,June 25 - July 2,7,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.2,0.331920765,40.3,0.47,1.6,0,0
9,June 25 - July 2,7,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.25,0.323335594,11.2,0.54,0.8,0,0
10,June 25 - July 2,7,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.5,0.322312083,16,0.78,1.6,0,0
11,June 25 - July 2,7,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.1,0.329309175,39.1,0.79,0.8,0,0
12,June 25 - July 2,7,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,6.95,0.355529082,22.4,0.8,1,0,0
13,June 25 - July 2,7,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,6.9,0.338623863,29.2,0.86,0.8,0,0
14,June 25 - July 2,7,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.05,0.337490239,40.4,0.85,1,0,0
15,June 25 - July 2,7,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.15,0.340320111,47,0.2,1,0,0
16,June 25 - July 2,7,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.45,0.31600892,27.5,0.03,1.8,0,0
17,June 25 - July 2,7,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,6.8,0.32323675,17.7,0.04,1,0,0
18,June 25 - July 2,7,Extended,Autumn / extended summer,NA,NA,NA,10,NA,6.95,0.326915987,24.9,0.06,1.4,0,0
19,June 25 - July 2,7,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,6.8,0.327201663,57.8,0.12,1,0,0
20,June 25 - July 2,7,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.05,0.327127019,22.2,0.25,1,0,0
21,June 25 - July 2,7,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.3,0.339524412,29.3,0.34,1,0,0
1,July 2 - July 10,8,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.15,0.347070773,19.1,0.44,1.4,0,0
2,July 2 - July 10,8,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,6.85,0.337584115,26.3,0.52,1.4,0,0
3,July 2 - July 10,8,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,6.95,0.337584115,19.1,0.77,1.6,0,0
4,July 2 - July 10,8,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,6.95,0.340751919,25.1,0.77,2,0,0
5,July 2 - July 10,8,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,6.95,0.322795861,18.9,0.78,1.4,0,0
6,July 2 - July 10,8,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.2,0.3331619,16.2,0.82,1,0,0
7,July 2 - July 10,8,Extended,Autumn / extended summer,NA,NA,NA,10,NA,6.85,0.338005098,53.2,0.79,2,0,0
8,July 2 - July 10,8,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.2,0.344953764,41.1,0.77,1.6,0,0
9,July 2 - July 10,8,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.35,0.323080556,11.3,0.01,1.6,0,0
10,July 2 - July 10,8,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7,0.330183526,26,0.03,1.8,0,0
11,July 2 - July 10,8,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.15,0.329173841,39.4,0.06,1.6,0,0
12,July 2 - July 10,8,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.25,0.357341019,24.3,0.19,1.4,0,0
13,July 2 - July 10,8,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.05,0.341277884,32.6,0.28,1.4,0,0
14,July 2 - July 10,8,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7,0.344636533,41.3,0.4,1.8,0,0
15,July 2 - July 10,8,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.1,0.34712092,47,0.51,1.8,0,0
16,July 2 - July 10,8,Extended,Autumn / extended summer,NA,NA,NA,10,NA,7.6,0.315210256,32.9,0.57,1.6,0,0
17,July 2 - July 10,8,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.05,0.325443879,19.2,0.62,1.4,0,0
18,July 2 - July 10,8,Extended,Autumn / extended summer,NA,NA,NA,10,NA,6.75,0.336507369,26.3,0.64,1.6,0,0
19,July 2 - July 10,8,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.15,0.323481392,58.2,0.63,1.8,0,0
20,July 2 - July 10,8,Control,Autumn / extended summer,NA,NA,NA,6.625,NA,7.15,0.328882673,22.3,0.59,1.6,0,0
21,July 2 - July 10,8,Heatwave,Autumn / extended summer,NA,NA,NA,6.625,NA,7.1,0.340517571,30.3,0.48,1.8,0,0
1,July 10 - July 16,9,Extended,Autumn / extended summer,2.434588052,-1.57E-08,-2.17E-05,10,9.8,6.95,0.359258773,18.6,0.49,1.4,0,0
2,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.439294465,-4.30E-08,-5.96E-05,4.75,9.5,6.8,0.341874224,27.2,0.03,1,0,0
3,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.186136239,-1.08E-07,-1.49E-04,4.75,9.7,7.2,0.32594324,19.2,0.06,1,0,0
4,July 10 - July 16,9,Control,Autumn / extended summer,1.655950391,-3.36E-08,-4.65E-05,4.75,8.2,7,0.342697166,25.1,0.1,1,0,0
5,July 10 - July 16,9,Control,Autumn / extended summer,1.114268832,-4.61E-08,-6.39E-05,4.75,9.95,6.95,0.323790698,18.6,0.21,0.8,0,0
6,July 10 - July 16,9,Extended,Autumn / extended summer,2.30280469,1.60E-08,2.22E-05,10,9.55,7.05,0.338585893,15.9,0.32,1.2,0,0
7,July 10 - July 16,9,Extended,Autumn / extended summer,3.663465737,3.87E-08,5.37E-05,10,7.6,7.1,0.346132813,52.3,0.41,1.4,0,0
8,July 10 - July 16,9,Extended,Autumn / extended summer,2.516545038,-1.82E-08,-2.52E-05,10,8.15,6.9,0.352657121,41.1,0.57,1.4,0,0
9,July 10 - July 16,9,Control,Autumn / extended summer,1.226803153,-5.52E-08,-7.65E-05,4.75,9,7.25,0.352657121,11.8,0.67,0.8,0,0
10,July 10 - July 16,9,Extended,Autumn / extended summer,1.906209555,-4.54E-08,-6.29E-05,10,8.15,7.65,0.332302981,27.7,0.71,1.4,0,0
11,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.93737434,-4.41E-08,-6.12E-05,4.75,9.45,7.05,0.332532895,41.8,0.67,1,0,0
12,July 10 - July 16,9,Heatwave,Autumn / extended summer,2.036064742,-4.77E-08,-6.61E-05,4.75,9.55,7.2,0.361476528,24.6,0.64,0.8,0,0
13,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.893850637,-4.33E-08,-6.00E-05,4.75,7.6,7.3,0.341087796,32.3,0.59,0.8,0,0
14,July 10 - July 16,9,Control,Autumn / extended summer,2.040642976,-5.11E-08,-7.08E-05,4.75,8.5,7.05,0.34415592,41.4,0.57,1.2,0,0
15,July 10 - July 16,9,Control,Autumn / extended summer,1.168546879,-6.16E-08,-8.53E-05,4.75,8.2,7.15,0.349623535,47.1,0.57,1,0,0
16,July 10 - July 16,9,Extended,Autumn / extended summer,1.245756101,9.42E-09,1.30E-05,10,9.45,7.1,0.321590615,36.4,0.03,1.2,0,0
17,July 10 - July 16,9,Control,Autumn / extended summer,1.395396024,-7.18E-08,-9.95E-05,4.75,9.95,6.95,0.32837137,19.7,0.02,1,0,0
18,July 10 - July 16,9,Extended,Autumn / extended summer,2.204635221,2.70E-09,3.75E-06,10,8.85,6.95,0.353258772,27.8,0.02,1.6,0,0
19,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.216622242,-6.39E-08,-8.86E-05,4.75,9.45,7.05,0.323340178,57.1,0.05,0.8,0,0
20,July 10 - July 16,9,Control,Autumn / extended summer,1.749515684,-3.65E-08,-5.06E-05,4.75,9.1,6.95,0.331127873,21.8,0.1,1.2,0,0
21,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.607966569,-3.86E-08,-5.35E-05,4.75,8.6,7.1,0.342184634,30.9,0.1,1,0,0
1,July 16 -  July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.7,0.359186527,18.4,0.16,0.6,0,0
2,July 16 - July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.5,0.335402525,26.2,0.22,1,0,0
3,July 16 - July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,7,0.319896876,18.6,0.27,1,0,0
4,July 16 -  July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,,0.338965089,25.1,0.28,1,0,0
5,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.75,0.320056534,19.1,0.31,1,0,0
6,July 16 - July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.6,0.337549918,15.9,0.33,0.6,0,0
7,July 16 -  July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.85,0.342887292,49.7,0.42,1.6,0,0
8,July 16 - July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.8,0.35645522,40.9,0.52,0.6,0,0
9,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.9,0.322501925,11.6,0.57,1,0,0
